0.000000000000000e+00,1.188218652149460e-01,4.816992552787404e-06
9.999999717180685e-10,1.188218645966076e-01,4.817417961680694e-06
1.999999943436137e-09,1.188218643979855e-01,4.817563277393330e-06
3.999999886872274e-09,1.188218638810838e-01,4.817890208291944e-06
7.999999773744548e-09,1.188218633805480e-01,4.818712150149265e-06
1.599999954748910e-08,1.188218669764959e-01,4.819503960628527e-06
2.898228063712422e-08,1.188218660311917e-01,4.817820488246297e-06
4.339681496949167e-08,1.188218171744218e-01,4.794190006556768e-06
5.986506045900486e-08,1.188216689318598e-01,4.723433997051926e-06
7.829402258637187e-08,1.188215715728176e-01,4.677096347738435e-06
9.735697748167389e-08,1.188224171268629e-01,5.078552256682435e-06
1.182915283649247e-07,1.188265586467410e-01,7.046866397441746e-06
1.386182933581065e-07,1.188393151082470e-01,1.311113672283954e-05
1.689931957434259e-07,1.188891738503214e-01,3.681766794412010e-05
2.092983596127232e-07,1.190392184936726e-01,1.081684318369606e-04
2.590974552711302e-07,1.194038028968684e-01,2.815527768991735e-04
3.160573356948040e-07,1.201018453950324e-01,6.135368703748161e-04
3.719292817613012e-07,1.211175785552964e-01,1.096631337348836e-03
4.417304833702337e-07,1.228046504788710e-01,1.899044820226709e-03
5.152104409301257e-07,1.249686962992078e-01,2.928338915923327e-03
5.964367920246738e-07,1.277204465179536e-01,4.237182377780336e-03
6.992647826532560e-07,1.315500083058836e-01,6.058692296085868e-03
8.460886054007665e-07,1.373415820223769e-01,8.813436320102317e-03
9.483921578145600e-07,1.415097927413774e-01,1.079603794942524e-02
1.066853883745476e-06,1.464208869570984e-01,1.313199386466404e-02
1.181566551610666e-06,1.512112212998252e-01,1.541051155457300e-02
1.333231426864470e-06,1.575703932339116e-01,1.843524562602003e-02
1.512766173017004e-06,1.651133499505708e-01,2.202304571052226e-02
1.787444174467470e-06,1.766645607930213e-01,2.751736734586809e-02
1.988827996364167e-06,1.851361889703334e-01,3.154688800574735e-02
2.176557719411144e-06,1.930342082860498e-01,3.530357115624169e-02
2.399048206369299e-06,2.023947440167572e-01,3.975589685787597e-02
2.620950062671848e-06,2.117304851894645e-01,4.419642813102750e-02
2.929019799119528e-06,2.246913597364345e-01,5.036124694842013e-02
3.158516635488351e-06,2.343465184949532e-01,5.495370577935487e-02
3.423414041095260e-06,2.454909214855417e-01,6.025451934845019e-02
3.740048234405039e-06,2.588118326389286e-01,6.659058266853571e-02
4.118564367888946e-06,2.747360452823688e-01,7.416489767548166e-02
4.609620421828377e-06,2.953945958721722e-01,8.399108459417756e-02
5.135776939087123e-06,3.175295788880631e-01,9.451952662696331e-02
5.692098877618957e-06,3.409333204128644e-01,1.056514423659238e-01
6.513703693699697e-06,3.754966212356581e-01,1.220913536260958e-01
7.398133004084660e-06,4.127021587806576e-01,1.397880164783485e-01
8.734907952424789e-06,4.689353779502778e-01,1.665350850707253e-01
1.000000000000000e-05,5.221520225311524e-01,1.918473076135945e-01
1.000633012131509e-05,5.224178311139795e-01,1.919737256993301e-01
1.001899036394527e-05,5.229506617003337e-01,1.922271730003831e-01
1.004431084920562e-05,5.240163075474995e-01,1.927340430550589e-01
1.006688484062433e-05,5.249655895164651e-01,1.931855574577297e-01
1.009812498573149e-05,5.262761921712833e-01,1.938089473700575e-01
1.013050019683860e-05,5.276140772682525e-01,1.944453143800040e-01
1.018799942155713e-05,5.298806750926102e-01,1.955234239245758e-01
1.025430527454615e-05,5.322577887744806e-01,1.966541155749920e-01
1.030709881688960e-05,5.338679431941944e-01,1.974200059155115e-01
1.036387690766718e-05,5.352505967018395e-01,1.980776901410992e-01
1.042564900160809e-05,5.363856916678358e-01,1.986176244230760e-01
