0.000000000000000e+00,1.238144e-01,5.019393e-06
9.999999717180685e-10,1.238144e-01,5.028462e-06
1.391581471540096e-09,1.238144e-01,5.036129e-06
2.174744471184150e-09,1.238144e-01,5.043758e-06
3.741070470472259e-09,1.238144e-01,5.034022e-06
6.873722469048477e-09,1.238144e-01,5.022844e-06
1.243543681504380e-08,1.238144e-01,5.029089e-06
1.838820955581283e-08,1.238144e-01,5.045492e-06
2.626410744828134e-08,1.238145e-01,5.065504e-06
3.590854088378729e-08,1.238144e-01,5.031688e-06
4.619394095499206e-08,1.238140e-01,4.832549e-06
5.554393535427454e-08,1.238131e-01,4.405446e-06
6.443927947194739e-08,1.238117e-01,3.730437e-06
7.459741215477010e-08,1.238097e-01,2.792086e-06
8.455100966026368e-08,1.238086e-01,2.278547e-06
9.816672664435549e-08,1.238126e-01,4.150265e-06
1.138842311169598e-07,1.238338e-01,1.422805e-05
1.306088319422303e-07,1.238937e-01,4.270371e-05
1.481368613182872e-07,1.240434e-01,1.138963e-04
1.753224458667227e-07,1.245313e-01,3.458674e-04
2.062077135514647e-07,1.255517e-01,8.310562e-04
2.349934546704919e-07,1.271374e-01,1.585142e-03
2.655919082104124e-07,1.297391e-01,2.822452e-03
3.054636437994865e-07,1.347641e-01,5.212283e-03
3.651689633282799e-07,1.453302e-01,1.023762e-02
4.311078416531119e-07,1.604214e-01,1.741534e-02
4.785609311350517e-07,1.734446e-01,2.360960e-02
5.174705129234934e-07,1.854914e-01,2.933949e-02
5.647049654435704e-07,2.012720e-01,3.684533e-02
6.080735337872656e-07,2.167037e-01,4.418533e-02
6.923376914301328e-07,2.484517e-01,5.928608e-02
8.032031703270538e-07,2.921894e-01,8.008978e-02
9.488120135747478e-07,3.514581e-01,1.082808e-01
1.000000000000000e-06,3.726203e-01,1.183466e-01
1.013802406694434e-06,3.783796e-01,1.210860e-01
1.032205615620347e-06,3.860656e-01,1.247419e-01
1.054781921610418e-06,3.955053e-01,1.292318e-01
1.082901648330984e-06,4.072704e-01,1.348279e-01
1.113999355915837e-06,4.202216e-01,1.409881e-01
1.157559616103139e-06,4.379697e-01,1.494301e-01
1.211347688075522e-06,4.587493e-01,1.593140e-01
1.260431050153782e-06,4.759074e-01,1.674757e-01
1.309783819459620e-06,4.906496e-01,1.744881e-01
1.365799825341738e-06,5.042380e-01,1.809518e-01
1.420033073544697e-06,5.143949e-01,1.857833e-01
1.477551187514367e-06,5.223969e-01,1.895897e-01
1.533911804159115e-06,5.281608e-01,1.923315e-01
